case,impact_x,impact_y,impact_z,velocity_x,velocity_y,velocity_z,impact_speed,mass_ratio,impactor_mass,impactor_density,theta_deg,phi_deg,material_young_mpa,material_poisson,material_index,material_name
case272,-2079.2041015625,538.6350708007812,288.3364562988281,216.4593048095703,239.6725616455078,3256.780517578125,3272.753662109375,0.7890658974647522,0.007890659384429455,4.107088170712814e-05,5.6630940437316895,47.91335678100586,70000.0,0.33000001311302185,0,aluminum_rigid
case273,-1978.3680419921875,419.77288818359375,295.8558349609375,-74.72027587890625,-33.50938034057617,2171.520751953125,2173.064208984375,0.8656982779502869,0.008656982332468033,4.5059594413032755e-05,2.159656286239624,204.154541015625,110000.0,0.3400000035762787,1,titanium_rigid
case274,-2138.353271484375,279.0896911621094,311.8685302734375,69.43367004394531,60.00515365600586,4083.3701171875,4084.4013671875,1.0570162534713745,0.010570162907242775,5.501769919646904e-05,1.287447214126587,40.8338508605957,210000.0,0.30000001192092896,2,steel_rigid
case275,-2339.431396484375,458.8233947753906,289.5190734863281,-222.39959716796875,1.6325181722640991,2654.515380859375,2663.816162109375,0.9119947552680969,0.00911994744092226,4.7469329729210585e-05,4.789277076721191,179.5794219970703,110000.0,0.3400000035762787,1,titanium_rigid
case276,-2690.17919921875,290.0294189453125,320.669189453125,109.72753143310547,-6.404912948608398,1768.1414794921875,1771.5545654296875,1.1639089584350586,0.011639089323580265,6.0581460274988785e-05,3.557143211364746,356.65936279296875,110000.0,0.3400000035762787,1,titanium_rigid
case277,-2308.45263671875,458.84478759765625,289.0741271972656,-103.31808471679688,-178.22451782226562,3490.5927734375,3496.66650390625,0.9334937334060669,0.009334937669336796,4.8588350182399154e-05,3.377540111541748,239.8988037109375,70000.0,0.33000001311302185,0,aluminum_rigid
case278,-2102.018798828125,426.1256103515625,291.9435119628906,-15.301979064941406,4.202797889709473,4463.0078125,4463.0361328125,0.833958089351654,0.008339581079781055,4.3407519115135074e-05,0.20371976494789124,164.6420135498047,210000.0,0.30000001192092896,2,steel_rigid
case279,-2171.482421875,246.37281799316406,314.6395568847656,-495.5843811035156,225.66574096679688,4589.26904296875,4621.462890625,1.0440694093704224,0.01044069416821003,5.43438145541586e-05,6.766853332519531,155.51771545410156,210000.0,0.30000001192092896,2,steel_rigid
case280,-2333.521240234375,345.3414611816406,290.9327392578125,-186.3170623779297,259.9028015136719,3615.132568359375,3629.248779296875,0.7971366047859192,0.007971365936100483,4.1490962757961825e-05,5.055100917816162,125.63568115234375,70000.0,0.33000001311302185,0,aluminum_rigid
case281,-1689.59326171875,454.92181396484375,288.7247314453125,4.453302383422852,52.894771575927734,1994.219970703125,1994.92626953125,1.2021461725234985,0.012021461501717567,6.257170753087848e-05,1.524731993675232,85.18751525878906,110000.0,0.3400000035762787,1,titanium_rigid
